title
"Happy, by Pharrell Williams"
"Gallan Goodiyaan, by Dil Dhadakne Do"
"Best Day of My Life, by American Authors"
"Badtameez Dil, by Yeh Jawaani Hai Deewani"
"Walking on Sunshine, by Katrina & The Waves"
"London Thumakda, by Queen"
"Can’t Stop the Feeling!, by Justin Timberlake"
"Kar Gayi Chull, by Kapoor & Sons"
"I Gotta Feeling, by The Black Eyed Peas"
"The Disco Song, by Student Of The Year"
"Lovely Day, by Bill Withers"
"Ainvayi Ainvayi, by Band Baaja Baaraat"
"Good as Hell, by Lizzo"
"Nashe Si Chadh Gayi, by Befikre"
"Shake It Off, by Taylor Swift"
"Kala Chashma, by Baar Baar Dekho"
"Uptown Funk, by Mark Ronson ft. Bruno Mars"
"Swag Se Swagat, by Tiger Zinda Hai"
"Roar, by Katy Perry"
"Tamma Tamma Again, by Badrinath Ki Dulhania"
"Sugar, by Maroon 5"
"Malhari, by Bajirao Mastani"
"On Top of the World, by Imagine Dragons"
"Bom Diggy, by Sonu Ke Titu Ki Sweety"
"Don’t Worry Be Happy, by Bobby McFerrin"
"Kar Har Maidaan Fateh, by Sanju"
"Adventure of a Lifetime, by Coldplay"
"Morni Banke, by Badhaai Ho"
"Counting Stars, by OneRepublic"
"Bom Diggy Diggy, by Zack Knight & Jasmin Walia"
"Shotgun, by George Ezra"
"Saudagar Sauda, by Saudagar"
"Good Time, by Owl City & Carly Rae Jepsen"
"Tu Meri Neend, by Bang Bang"
"Firework, by Katy Perry"
"Nashe Mein, by Javed–Kabir Khan"
"Raise Your Glass, by P!nk"
"Dil Chori, by Sonu Ke Titu Ki Sweety"
"Summer, by Calvin Harris"
"London Thumakda (Remix), by DJ Chetas"
"Happy Now, by Kygo & Sandro Cavazza"
"Galliyaan, by Ek Villain"
"Walking on a Dream, by Empire of the Sun"
"London Boy, by Taylor Swift"
"Saturday Saturday, by Humpty Sharma Ki Dulhania"
"All Star, by Smash Mouth"
"Malang, by Dhoom 3"
"Pocketful of Sunshine, by Natasha Bedingfield"
"Bala, by Housefull 4"
"Viva La Vida, by Coldplay"
